TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1757111420;9/5/2025 10:30:20 PM;33.87;0;46.26;989;6.12;208;0;
1757111483;9/5/2025 10:31:23 PM;33.85;0;46.65;989;3.6;232;0;
1757111546;9/5/2025 10:32:26 PM;33.82;0;46.63;988.9;1.8;155;0;
1757111608;9/5/2025 10:33:28 PM;33.82;0;47.07;989;5.04;173;0;
1757111671;9/5/2025 10:34:31 PM;33.69;0;47.21;988.9;5.76;187;0;
1757111734;9/5/2025 10:35:34 PM;33.55;0;47.98;988.9;6.12;158;0;
1757111796;9/5/2025 10:36:36 PM;33.36;0;48.77;989;6.48;169;0;
1757111859;9/5/2025 10:37:39 PM;33.21;0;50.04;988.9;5.4;181;0;
1757111922;9/5/2025 10:38:42 PM;33.09;0;49.74;989;5.76;172;0;
1757111985;9/5/2025 10:39:45 PM;33.01;0;50.5;988.9;6.48;174;0;
1757112047;9/5/2025 10:40:47 PM;32.9;0;50.37;989;5.04;179;0;
1757112110;9/5/2025 10:41:50 PM;32.8;0;51.14;989;6.48;169;0;
1757112173;9/5/2025 10:42:53 PM;32.78;0;51.98;989;3.96;175;0;
1757112235;9/5/2025 10:43:55 PM;32.77;0;52.61;989;2.16;187;0;
1757112298;9/5/2025 10:44:58 PM;32.86;0;53.3;988.9;5.04;189;0;
1757112361;9/5/2025 10:46:01 PM;32.85;0;52.33;988.9;2.52;145;0;
1757112423;9/5/2025 10:47:03 PM;32.85;0;52.67;988.9;1.8;170;0;
1757112486;9/5/2025 10:48:06 PM;32.99;0;52.64;988.9;1.8;143;0;
1757112549;9/5/2025 10:49:09 PM;33.15;0;52.57;988.9;2.16;184;0;
1757112611;9/5/2025 10:50:11 PM;33.34;0;52.19;988.9;2.88;187;0;
1757112674;9/5/2025 10:51:14 PM;33.53;0;51.96;988.9;2.16;46;0;
1757112737;9/5/2025 10:52:17 PM;33.6;0;51.84;989;2.52;189;0;
1757112800;9/5/2025 10:53:20 PM;33.41;0;52.39;988.9;4.68;173;0;
1757112862;9/5/2025 10:54:22 PM;33.15;0;53.39;989;4.68;119;0;
1757112925;9/5/2025 10:55:25 PM;33.11;0;53.69;988.9;2.52;150;0;
1757112988;9/5/2025 10:56:28 PM;33.08;0;53.74;988.9;2.52;306;0;
1757113050;9/5/2025 10:57:30 PM;33.19;0;54.08;989;1.08;76;0;
1757113113;9/5/2025 10:58:33 PM;33.36;0;52.85;988.9;9;165;0;
1757113176;9/5/2025 10:59:36 PM;33.15;0;53.61;988.9;3.24;202;0;
